Код	НаименованиеЕдиницыИзмерения	УсловноеОбозначениеНациональное	УсловноеОбозначениеМеждународное	КодовоеБуквенноеОбозначениеНациональное	КодовоеБуквенноеОбозначениеМеждународное
2556	Эксабайт	Эбайт		ЭБАЙТ	
2557	Зеттабайт	Збайт		ЗБАЙТ	
2558	Йоттабайт	Йбайт		ЙБАЙТ	
3831	Рубль тонна	руб. тонна		РУБ ТОННА	
5401	Дето-день	дет. дн		ДЕТ ДН	
5423	Человек в год	чел/год		ЧЕЛ/ГОД	
5451	Посещение	посещ		ПОСЕЩ	
5562	Тысяча гнезд	10^3  гнезд		ТЫС ГНЕЗД	
6421	Единиц в год	ед/год		ЕД/ГОД	
6422	Вызов	вызов		ВЫЗОВ	
6424	Штамм	штамм		ШТАММ	
8361	Особь	ос		ОСОБЬ	
8751	Коробка	кор		КОР	
9111	Койко-день	койк. дн		КОЙК ДН	
9113	Пациенто-день	пациент. дн		ПАЦИЕНТ ДН	
9245	Запись	запись		ЗАПИСЬ	
9246	Документ	докум		ДОКУМ	
9491	Лист-оттиск	лист. оттиск		ЛИСТ. ОТТИСК	
9501	Вагоно (машино)-час	ваг (маш) ч		ВАГ (МАШ) Ч	
9641	Летный час	летн. ч		ЛЕТН Ч	
9803	Миллиард долларов	10^9  доллар		МЛРД ДОЛЛАР	
9805	Доллар за тонну	доллар за тонну		ДОЛЛАР ЗА ТОННУ	
017	Гектометр		hm		HMT
045	Миля (уставная) (1609,344 м)		mile		SMI
077	Акр (4840 квадратных ярдов)		acre		ACR
079	Квадратная миля		mile2		MIK
135	Жидкостная унция СК 3 (28,413 см3)		fl oz (UK)		OZI
136	Джилл СК (0,142065 дм3)		gill (UK)		GII
137	Пинта СК (0,568262 дм3)		pt (UK)		PTI
138	Кварта СК (1,136523 дм3)		qt (UK)		QTI
139	Галлон СК (4,546092 дм3)		gal (UK)		GLI
140	Бушель СК (36,36874 дм3)		bu (UK)		BUI
141	Жидкостная унция США (29,5735 см3)		fl oz (US)		OZA
142	Джилл США (11,8294 см3)		gill  (US)		GIA
143	Жидкостная пинта США (0,473176 дм3)		liq pt (US)		PTL
144	Жидкостная кварта США (0,946353 дм3)		liq qt (US)		QTL
145	Жидкостный галлон США (3,78541 дм3)		gal (US)		GLL
146	Баррель (нефтяной) США (158,987 дм3)		barrel (US)		BLL
147	Сухая пинта США (0,55061 дм3)		dry pt (US)		PTD
148	Сухая кварта США (1,101221 дм3)		dry qt (US)		QTD
149	Сухой галлон США (4,404884 дм3)		dry gal (US)		GLD
150	Бушель США (35,2391 дм3)		bu (US)		BUA
151	Сухой баррель США (115,627 дм3)		bbl (US)		BLD
152	Стандарт				WSD
153	Корд (3,63 м3)				WCD
154	Тысячи бордфутов (2,36 м3)				MBF
182	Нетто - регистровая тонна				NTT
183	Обмерная (фрахтовая) тонна				SHT
184	Водоизмещение				DPT
186	Фунт СК, США (0,45359237 кг)		lb		LBR
187	Унция СК, США (28,349523 г)		oz		ONZ
188	Драхма СК (1,771745 г)		dr		DRI
189	Гран СК, США (64,798910 мг)		gn		GRN
190	Стоун СК (6,350293 кг)		st		STI
191	Квартер СК (12,700586 кг)		qtr		QTR
192	Центал СК (45,359237 кг)				CNT
193	Центнер США (45,3592 кг)		cwt		CWA
194	Длинный центнер СК (50,802345 кг)		cwt (UK)		CWI
195	Короткая тонна СК, США (0,90718474 т)		sht		STN
196	Длинная тонна СК, США (1,0160469 т)		lt		LTN
197	Скрупул СК, США (1,295982 г)		scr		SCR
198	Пеннивейт СК, США (1,555174 г)		dwt		DWT
199	Драхма СК (3,887935 г)		drm		DRM
200	Драхма США (3,887935 г)				DRA
201	"Унция СК, США (31,10348 г)
Тройская унция"		apoz		APZ
202	Тройский фунт США (373,242 г)				LBT
213	Эффективная мощность (245,7 ватт)		B.h.p.		BHP
275	Британская тепловая единица (1,055 кДж)		Btu		BTU
638	Гросс (144 шт.)		"gr
144"		GRO
731	Большой гросс (12 гроссов)		1728		GGR
738	Короткий стандарт (7200 единиц)				SST
835	Галлон спирта установленной крепости				PGL
851	Международная единица				NIU
853	Сто международных единиц				HIU
